title,author,century,text
- XXXVI -,Juan de Arguijo,15-17,"Después que en tierno llanto desordena
Citerea la voz por el violento
fin de su Adonis, y con triste acento
el bosque Idalio a su dolor resuena,

y en flor sobre el acanto y azucena
hermosura, trueca el mísero y sangriento
joven, modera el grave sentimiento,
y el ímpetu a sus lágrimas enfrena;

y no hallando a su tristeza medio
vuelve al usado ornato, y reflorece
del ya sereno rostro la luz pura

Así el pesar con la razón decrece,
desesperado el bien; que tal vez cura
a un grande mal la falta de remedio.

"
Soneto,Luis Martín de la Plaza,15-17,"Nereidas, que con manos de esmeraldas
para sangrarle las ocultas venas
de perlas, nácar y corales llenas
azotáis de Neptuno las espaldas

y, ceñidas las frentes de guirnaldas,
sobre azules delfines y ballenas
oro puro cernéis de las arenas
y lo guardáis en las mojadas faldas:

decidme, así de vuestro alegre coro
no os aparte aquel dios que en Eolia mora
ni con valiente soplo os haga agravios,

¿halláis corales, perlas, nácar, oro
tal como yo los hallo en mi señora
en cabellos, en frente, en boca, en labios?

"
Soneto,Luis Martín de la Plaza,15-17,"Veo, Señora, al son de mi instrumento,
cuando entona mi voz tu nombre santo,
parar los ríos a escuchar mi canto,
correr los montes y callar el viento.

Y luego, si publico mi tormento,
huir los ricos con temor y espanto,
y ser los montes sordos a mi llanto,
y el viento murmurar del triste acento.

Y es porque haces sus arenas de oro,
traes a los montes un verano eterno,
y das olor al viento que te toca.

Yo deshago, llorando, su tesoro,
traigo a los montes un helado invierno,
y doy a viento el fuego de mi boca.

"
"No pises, no; detén el pie de nieve...",Pedro Castro y Anaya,15-17,"No pises, no; detén el pie de nieve;
no pises esta desmayada rosa,
que a los claveles de tu boca hermosa
la ya marchita púrpura les debe

Esta, que poseyó cetro tan breve
del prado en la república olorosa,
hállete, oh Nise, alguna vez piadosa
si tu retrato a lástima te mueve

Pero si acaso enternecida lloras
la muerte de una flor, oh dueño ingrato,
por ser copia gentil de tus auroras,

Nise, Temed; en que, en tan breve rato,
sin la prolija guerra de las horas,
falte el original como el retrato.

"
"Al retrato de Pedro de Valencia, ceramista de Su M",Anastasio Pantaleón de Ribera,15-17,"De este lienzo la voz, o peregrino,
pórfido calla, bien que no la vida,
hoy del primer pincel restituida,
robada ayer del último destino.

El que admiras silencio, ya ladino
habla en la docta imagen, que mentida
en su primera forma, o repetida
finge la humanidad viviendo el lino

La verdad de esta copia muda yace
aun más que en el pincel que se eterniza
en breve espacio de sepulcro breve

O no el sepulcro, Pedro, se embarace,
el cielo sí, de tu inmortal ceniza,
que el menos grave pórfido no es leve.

"
A fama póstuma del doctor Juan Pérez de Montalbán,Juan López Román,15-17,"Venera aquesta Pira, o Caminante,
que yace en ella aquel Doctor famoso,
Montano, que en su tiempo dio glorioso
alma a las Musas, de su ser Atlante

Aquel que en lo discreto, y elegante
se vio tan eminente que es forzoso
presumir de su modo milagroso
que no queda en el mundo semejante

O Parca fiera que con mano aleve
-la vida le quitaste al Fénix sólo-
en el arte, y primor de la Poesía!

Aquel que las Hermanas todas nueve
le dieron el laurel del sacro Apolo,
celebrando sus versos a porfía

"
Al lector,Juan de Castellanos,15-17,"Lector amigo, claramente veo
salir a luz aqueste monumento
sin aquellos matices y ornamento
que por ventura tienes en deseo

Con sólo la verdad lo hermoseo,
porque no pide tanto crecimiento
de variedades, mas detenimiento
del que suele llevar veloz correo

La peregrinación es inexhausta,
la vida breve, vena mal propicia
para me detener en las jornadas

Y ansí vamos de paso, porque basta
en aqueste compendio dar noticia
de las cosas que estaban olvidadas

"
A la muerte de don Rodrigo Calderón,Anastasio Pantaleón de Ribera,15-17,"En copia amarga de funesto llanto
desata (o Caminante) el sentimiento,
que informa miedos hoy tanto escarmiento,
que lágrimas disculpa, ejemplo tanto,

grave te avise, y te prevenga tanto
Desengaño a la vida, este sangriento,
este helado castigo, que instrumento
de la piedad se ostenta, y del espanto

No natural, violento sí, el destino
(por ley impuesta) derribó homicida
el uso indigno de su altiva suerte

Muriendo humano vivirá divino,
pues el morir le ocasionó su vida,
pues el vivir le aseguró su muerte.

"
Al estrago de la predicación evangélica,Anastasio Pantaleón de Ribera,15-17,"Pregúntasme, porque con tanto ahínco
repugné el predicar, pues bien podría
con un poco de crítica osadía
subirme al mayor púlpito de un brinco.

Confieso Anian, que los talentos cinco
son ya sólo una vana parlería;
mas con ella, que gana el alma mía,
pues si una flecha en las ajenas hinco

Si al oído estragado me acomodo,
estrago la doctrina; si la templo
con sencillez, a las paredes hablo:

¡O Sacro oficio! ya profano en todo
es Comedia el Sermón, Teatro el Templo,
farsante el que predica, autor el Diablo

"
Sobre el mismo tema,Pedro de la Escalera Guevara,15-17,"Duerme en el mármol de esta losa fría
aquel sol que ilustró tanto las artes,
que los doctos del orbe en varias partes
lloran de tanto sueño el triste día

La patria dulce en lágrimas envía,
la queja del dolor que le repartes,
huérfana, LOPE, de tus altas partes,
y sin el plecto de tu gran Talía.

Docto varón, o docto, al fin moriste,
para enseñar desde ese monumento
la Parca atroz con tu divina pluma

Que pues docto varón no la venciste,
el ignorante viva, viva atento
al fin último suyo, y no presuma

"
Soneto amoroso,Juan de Jauregui,15-17,"Burla o blasona la corcilla o gama,
bien guarecida entre su bosque espeso,
del gran lebrel y acosador sabueso,
cuyo ladrido la amenaza y llama.

Mas si, engañada de la hierba y grama,
al raso campo estiende el pie travieso,
muriendo paga su ligero ecceso,
y en vano el gremio de las selvas ama.

Así, mientras cerrado en mi aspereza
viví, burlaba, Amor, de tus rigores;
mas engañóme un rostro lisonjero.

Salí de mí, siguiendo la belleza
de un paraíso con perpetuas flores,
donde a tus manos rigurosas muero

"
A San Ignacio de Loyola,Juan de Jauregui,15-17,"Ved la columna que descubre senda
en el piélago rubro al pueblo amado,
el fuego y el granizo ved mezclado,
porque el egipcio su amenaza entienda.

Ved sobre el mar, porque su golfo encienda,
el ángel fuerte, de pureza armado,
y en procelosas ondas arrojado,
a Jonás ved que al ninivita enmienda

de Dios ved el espíritu influyendo
sobre las aguas; ved el arca ufana,
que vida ofrece en la borrasca a tantos;

así de Ignacio en la laguna ardiendo
veréis la caridad, que ejemplos santos
pudieron describir, no voz humana

"
A las cenizas del doctor don Juan Pérez de Montalbán,Ángela de Mendoza,15-17,"Culta pavesa ya, si antes alada,
envidia de las flores, y del Mayo,
que anhelando a lucir ardiente rayo,
a Epitome reduces este nada.

Caúcaso fuiste ya, adonde atada
la idea padeció mortal desmayo,
hoy de cenizas pálidas Moncayo,
urna te ceñirás bien fabricada.

Quieta reposa pues, mientras unida
asciendes a lograr el alto empeño
que desató los lazos de tu vida

Descansa entre las sombras de este ceño,
que después la quietud interrumpida,
verás que en la virtud la muerte es sueño.

"
A San Isidro,Felipe Bernardo del Castillo,15-17,"Los campos de Madrid, Isidro santo,
Ángeles aran, cuando tú arrobado,
estás con Dios y en Dios tan endiosado,
que el héroe labrador da al cielo espanto.

Angélicas cohortes entre tanto
a Iban por ti ministran tu cuidado,
cándidos bueyes, celestial arado,
el campo fructifican sacrosanto.

Aqueste Labrador orando alcanza
con lágrimas de gozo enternecido
labrarse para Dios, darse en tributo.

Las Ángeles que están en su labranza,
por cosecha del cielo le han cogido,
sembrando aquí sus lágrimas el fruto.

"
A la muerte del doctor Juan Pérez de Montalbán,Pablo de Sotomayor,15-17,"Del Píndaro Español, del Cisne raro,
que tan dulce cantó con docta pluma,
la forma reducida a breve fuma,
ceniza sella aquí este Mármol Paro.

El que a pesar de envidia, ingenio claro,
nuevo Virgilio fue, prudente Numa,
porque olvido su nombre no consuma
descansa en bronce, contra el tiempo avaro

Aquí el divino Montalbán reposa
Tu afecto mueva a llanto, o peregrino,
su pérdida temprana lastimosa.

Y pues vive inmortal, contra el destino,
de tan grande Varón, tan breve Losa,
venera en paz, y sigue tu camino.

"
Soneto,Andrés Rey de Artieda,15-17,"A ¿Quién vive aquí? C Un pobre peregrino
A ¿Pues peregrino con hogar y casa?
C ¿No la veis toda ya desierta y rasa,
que sólo esté sobrado quedó en pino?

A ¿Quién os trajo a tal lugar? C Mi sino
A ¿Quién sois? C Soy viento que no vuelve y pasa:
tuve favor del mundo, tuve el asa;
pasó el buen tiempo, y el adverso vino.

A ¿Qué hacéis aquí? C Un cesto, una canasta,
tal vez de mimbre, tal de seco esparto,
con que gano el sustento que me basta.

Y no me vi (os prometo) jamás harto
de pretensiones militares hasta
que el desengaño me alquiló este cuarto

"
Soneto,Benito Arias Montano,15-17,"Quien las graves congojas huir desea,
de que está vuestra vida siempre llena,
ame la soledad quieta y amena,
donde las ocasiones nunca vea.

En ella de paciencia se provea
contra los pensamientos que dan pena,
y de memoria del morir, que es buena
para defensa de cualquier pelea

Mas el que está de amor apasionado,
no piense estando solo remediarse,
ni con paciencia ni acordar de muerte;

porque la causa trae de su cuidado
dentro en sí, y mientras más quiere alejarse,
la fuerza de amor siente muy más fuerte.

"
Soneto a San Vicente Ferrer,Gaspar de Aguilar,15-17,"Juan ofreció el jazmín, que es el dechado
de la virginidad maravillosa;
Diego, menor, la trascendente rosa;
Bernardo, amante, el alhelí morado

Domingo, noble, el lirio aventajado;
Antonio, fuerte, la azucena hermosa;
Tomás, sutil, la nepta provechosa;
Lorenzo, mártir, el clavel leonado.

Jacinto, el arrayán de su esperanza;
Pablo, la maravilla de su celo;
Francisco, el trébol, que humildad promete.

Con estas flores dignas de alabanza,
hizo el grande Vicente, para el Cielo,
como era valenciano, un ramillete.

"
Soneto de penitencia,Diego Ramírez Pagan,15-17,"El cuerpo está de vicios abrevado,
en el profundo el paso detenido,
las aguas de mis culpas han crecido
y hasta el alma mía se han entrado.

Si a pie pruebo a salir, no hallo vado,
si a vuelo, se han las alas derretido,
y queda en mi deshonra mi apellido,
como de Ícaro el golfo señalado.

Si quiero bracear soy ignorante
en el nadar, y pues a todo falto
bonanza de los tristes que navegan

Tu mano poderosa de lo alto
envíala señor, y en un instante
me libra de estas aguas que me anegan.

"
Soneto,Diego Vélez de Guevara,15-17,"Ora en la fiel cosecha, Lisis grata,
la tierra corresponda a el aldeano
labrador, ora en leche pierda el grano
la piedra, que las mieses desbarata;

o el mar tranquilo ya, la índica plata
en salvamento llegue al puerto hispano,
o ya parte se trague el Océano,
y parte roba el albión pirata;

no lo siento, ni anhelo los fatales
destinos estorbar con dar al viento
y a Dios votos y voces desiguales

No porque yo del mal tenga contento,
mas porque el curso de seguir tus males
no me deja lugar al sentimiento

"
Soneto,Francisco de Olaegui,15-17,"Llega Javier al cielo, ya Gigante,
en lama, y cuerpo, con la augusta frente
a quien cuanta en la esfera arde luciente,
estrella ceñirá bello diamante.

Medio Orbe al Macedón bastó arrogante,
todo el mundo a Javier no es suficiente,
pues si en llamarse grande aquel no miente,
que renombre a Javier será bastante.

Siempre aspiró a ser más pero su aliento,
no hallando más que ser, ya se ha excedido,
a sí mismo: o Javier siempre portento.

Cuanto otros Héroes fueron no ha podido
eternizarlos, más a tu ardimiento
le sobra la mitad de lo que ha sido

"
Soneto,Francisco de Figueroa,15-17,"Gasto mis pasos y mis tristes días
tras un deseo loco y engañoso,
que sostiene el vivir dificultoso
con vanas esperanzas y alegrías;

y encontrado mi daño por mil vías,
sin ser abierta senda a mi reposo,
doquier que vuelvo el rostro lastimoso,
hay campo lleno de miserias mías.

Miseria será todo y desventura,
hasta que se ejecute la postrera
en los cansados años de mi vida.

Pagará el pensamiento su locura,
y morirá el deseo cuando muera
el alma, que es vivienda aborrecida

"
Soneto,Gregorio Silvestre,15-17,"¿Qué es esto, Dios de amor, que ya no vales?
Las damas dicen que obras son amores
y ya no quieren gracia ni primores,
sino buenas preseas y primores.

Rindiéronse al amor de tres metales:
con oro y plata tiran los mayores
y tiran con el cobre las menores
que todas ellas son interesales.

Bien puede acometerse sin recelo
con un hermoso tiro de moneda
la más pura mujer de las del suelo.

Y cuando algún resabio en ellas queda
con un arpón de raso o terciopelo
las torna amor más blanda que la seda.

"
Soneto,Gregorio Silvestre,15-17,"Del oro fino son vuestros cabellos,
señora, y de cristal la blanca frente,
los ojos son dos soles en oriente
que al mismo amor, de amor matáis con ellos

Y quiere amor que haga pausa en ellos,
que no hay pasar de allí ni se consiente;
y es cada parte en voz tan excelente
que son dignos de ser de quien son ellos.

De cuanto bueno el cielo acá reparte
tendrá, quien ver supiere vuestro gesto,
mil años que alabar en cada cosa;

cien mil gracias tenéis en cada parte
y hacen todas ellas un compuesto,
que no es la hermosura tan hermosa.

"
¿De qué sirve querer un imposible?,Leonor de la Cueva y Silva,15-17,"Basta, Amor, el rigor con que me has muerto;
cese un poco, rapaz, tu ardiente fuego,
pues ya del alma el señorío entrego
por los ojos no más a dueño cierto;

y aunque es el bien que añoro tan incierto,
que no pasa de vista, a sentir llego
tu fuerza de manera, que me anego
en mil mares de amar sin hallar puerto

Riño unas veces a mis libres ojos,
mas por respeto de lo que han mirado,
detengo el castigarlos lo posible,

y viendo que padezco estos enojos,
digo entre mí a mi pecho enamorado:
¿de qué sirve querer un imposible?

"
Soneto,Miguel Beneyto,15-17,"Ya me canso, señora, de cansarte,
y así procuraré seguir tu gusto;
pues lo requiere la razón, y es justo
que nadie persevere en enfadarte

No quiero algunas cosas acordarte,
que son en mi provecho y tu disgusto;
porque dirás que es caso muy injusto
querer por tal camino granjearte

Al fin, señora, porque no te asombre
mi vista ni te cause algún despecho,
te juro de dejar la patria y nombre,

pues bañando con lágrimas el pecho,
borrare, por ser tuyo, aquel renombre,
quedando con tu gusto satisfecho.

"
Soneto,Francisco de Figueroa,15-17,"Hierbas floridas, verdes, deleitosas,
que con el blanco pie sois oprimidas
de aquella que en su bulto recogidas
tiene todas las gracias más preciosas

Dichosas sombras suaves y amorosas,
tan gratas a la que roba mil vidas
aire que del fino oro desparcidas
las hebras traes revueltas con las rosas;

claras y frescas fuentes cristalinas,
que de bañar en vos sus blancas manos
os quiso hacer mi Filis tanto dignas;

cuando sintáis sus pasos soberanos
direisle, si a mis ojos son benignas,
que no me sean los suyos tan tiranos.

"
De Los hermanos amantes y piedad por fuerza – Jornada primera - Margarita,Fernando de Zarate,15-17,"De vos me aparto, honor, en tal mudanza,
alegre de mi mal, mi infamia siento,
de qué me servirá tener contento,
si más ha de perder quien más alcanza.

Quíteme amor el bien de la esperanza,
que si van mis desdichas en aumento,
por fuerza ha de dejarle a mi tormento
la memoria por ser lo que más cansa.

Viviendo la memoria ha de matarme;
quitarme la esperanza es darme muerte;
(leño en mar proceloso voy, y vengo).

Pero quiero en mis males consolarme,
tengo esperanza, ¿no? Pues de qué suerte
me ha de quitar amor lo que no tengo.

"
Soneto a Nuestra Señora de Alva,Diego Ramírez Pagan,15-17,"Sosegado está el mar, selvas y prados,
la hoja y flor su pompa muestra al cielo,
la noche vi rompiendo aprisa el velo
sus caballos herir negros y alados

Scintia deja los campos plateados
de un transparente y cristalino hielo,
resplandecían del señor de Delo
los orientales rayos colorados

Cuando otro sol más puro de occidente
veis donde asoma serenando el día,
y la imagen oriental descolorando.

Y dijo Eterna luz sola y ardiente
sufrid en paz la hermosura mía
que más clara que vos se va mostrando

"
A la vida y costumbre de Nuestra Señora conforme San Epifanio,Andrés Rey de Artieda,15-17,"Vistió la humilde Virgen lino y lana,
honró en su estado al grande y al pequeño
Ira, cólera o risa, ni por sueño
mostró tener, ni turbación humana

De estatura de cuerpo fue mediana,
rubio el cabello, el color trigueño,
afilada nariz, rostro aguileño,
cifrado en él un alma humilde y llana.

Los ojos verdes de color de oliva,
la ceja negra, arqueada, hermosa,
la vista santa, penetrante y viva.

Labios y boca de purpúrea rosa,
con gracia en las palabras excesiva,
representando a Dios en cualquier cosa.

"
A Lope de Vega,Diego Ximénez de Cabredo,15-17,"Hoy queda para siempre declarado,
Vaga espaciosa fértil y agradable,
que es el fruto que das inestimable
puro, precioso, rico y regalado.

Pues le ofreces a todos sazonado,
útil al alma y a la vista amable
con una erudición incomparable
y en estilo jamás imaginado

No sólo es digno de que ganes nombre
y le gane Madrid cual madre tuya
honrada de tenerte por su hijo,

mas de que el Tajo nueva envidia asombre
de que al Betis la gloria se atribuya
de hallar Mecenas en don Juan de Arguijo

"
Soneto,Benito Arias Montano,15-17,"¿Qué es esto Entendimiento? ¿Qué revuelta
te hace disparar de tu carrera,
que aquello do menor razón se espera
te vas desatinando a rienda suelta?

Solías tú correr, parar, dar vuelta,
movido de la mano más certera
de la razón, llevando por bandera
la vela que el sentido al viento suelta

Desesperado de mi luz avara,
que, cuando más pensaba ir atinando,
muy más sin tino y ciego me llevaba,

sentí, sin sentir cómo, otra tan clara
que aquella que primero me guiaba
me va tiniebla oscura remedando

"
Soneto,Matías Juan Beana,15-17,"En globo azul, que el euro no violenta,
tranquilidades de su seno undoso,
no hallando en amarguras su reposo,
el pasajero en sed corre tormenta.

Javier Sagrado su desmayo alienta,
y a los clamores míseros piadoso,
solicita el licor venga precioso,
que socorra una pena que atormenta.

A Cristo invoca, de la Cruz pendiente,
cuyo costado (fuente a los mortales)
el bote de una lancha abrió con brío.

Bendijo el mar la Cruz, Sacro Tridente,
y como sintió el ponto en sus cristales,
aquella dulce fuente, se hizo río.

"
A un reloj que juntamente era candil,Anastasio Pantaleón de Ribera,15-17,"A nuevo ya esplendor restituida
hermosísima luz tu ser mejoras,
pues a la noche las tinieblas doras,
de su seno la sombra desmentida

Si de la edad, que vives repetida,
aun los caducos términos ignoras,
en el índice vuelve de las horas
segunda vez a regular tu vida

O tú feliz, a quien el fin violento
tantos avisan mudos desengaños,
que un momento te da ¡otro momento!

Y yo si en el ejemplo de tus daños,
como llegué a observar el escarmiento,
llego también a castigar mis años.

"
Soneto,Lorenzo Ortiz de Bujedo,15-17,"Si se oscurece el mundo con la ausencia
del padre de la luz, del sol hermoso,
yo luego con semblante luminoso
sustituyo benigna su presencia

Cuando con melancólica influencia
tiende la noche el manto pavoroso,
mi hermosísima luz del tenebroso
horror, que infunde, burla la inclemencia

Alza al cielo los ojos, y al mirarme,
te llenarás de gozo y de alegría,
sin dejar un momento de admirarme.

¡Oh Luna! Dime ¿quién tanta hidalguía
pudo a ti concederte, y en ti darme?
El ser símbolo expreso de María

"
En el túmulo que fabricó Sevilla a la reina Doña Margarita,Juan de Jauregui,15-17,"Hoy, por Vandalia insigne y su cabeza,
magnífico sepulcro al cuerpo santo
de Margarita se dedica, en tanto
que el alma goza de mayor alteza

No el rico adorno y la imperial grandeza
mueva a curiosa admiración y espanto
los ojos mismos: que a dolor y a llanto
debe mover, y a funeral tristeza

Ya en cuanto espacio el universo estiende
su grave faz, todo placer destierra
la Muerte, ufana de tan noble palma

Ella se alegre; alégrese la tierra,
que las cenizas envolver pretende;
y el cielo puro, que atesora el alma.

"
Al entierro que se hizo en San Esteban de Salamanc,Anastasio Pantaleón de Ribera,15-17,"Niégate, (huésped) hoy a la partida,
y el llanto logra, que fatal te advierte
este funesto triunfo de la muerte,
este funesto asombro de la vida

Culta es urna del Alba, que dormida
en sueño yace inexorable y fuerte
de eterna siempre noche, o dura suerte
cual cerviz no tembló su grave herida

Al fuero de la Parca luces bellas,
el Alba feuda aquí, de aquel Fernando,
que hoy de gloria sus triunfos enriquece.

Que mucho, pues, se ilustra a las estrellas,
y aun a los mismos cielos ilustrando,
horizontes eternos amanece.

"
A Lope de Vega y Carpio,Isabel de Ribadeneira,15-17,"Si el Español, o el Florentín famoso
vieran de tus escritos la excelencia,
Vaga, a quien el Parnaso reverencia,
quedara cada cual de ti envidioso

Porque tu dulce estilo caudaloso
así de los demás se diferencia,
como entre las estrellas la presencia
del sol al medio curso luminoso

Y pues los ríos, sin faltar ninguno,
cortando montes, o por valles fríos,
al mar van a pagar debido censo:

Aunque no has de crecer con loor alguno,
vaya mi arroyo entre famosos ríos
al Océano de tu ingenio inmenso.

"
"A don Diego de Lucena, pintor famoso, grande ingen",Anastasio Pantaleón de Ribera,15-17,"En esa, Diego, lámina excedida
ni del Griego Pintor, ni del Toscano,
a los esfuerzos debe de tu mano
segundo aliento mi segunda vida

Muda la imagen vive, consentida,
no a más que el bulto persuadir humano,
nada el pincel la oculta soberano,
sólo la voz le niega colorida.

No te adquiere esta copia la alabanza
por imitada bien, que los primores
siempre son en tu obrar la menor parte

Mayor admiración, Diego, te alcanza
de que anime tu diestra los colores,
y pueda dar espíritus el arte

"
Soneto,Francisco de Segura,15-17,"Sois sin pecado original criada,
ab eterno guardada y escogida;
que quien os hizo Virgen y parida
os hizo de la culpa preservada

Vuestra sangre divina, inmaculada,
es de Dios hecho Hombre, y nos dio vida;
y gracia de tan alto recibida,
¿cómo pudo de culpa ser manchada?

De Nuestro Salvador, Verbo humanado,
Virgen y madre sois, suma grandeza,
que sobre serafines os levanta.

El dicho de Dionisio sea alabado:
«Que a no saber de Dios la grande alteza,
os tuviera por Dios, ¡oh Reina Santa!»

"
La rosa en los cristales de una fuente...,Pedro Castro y Anaya,15-17,"La rosa en los cristales de una fuente
flor a flor todo el prado desafía;
hermosa en plumas de carmín se abría
a ser narciso en el cristal luciente

Y cuando más purpúrea y floreciente
en copas de rubí perlas bebía,
del achaque de un sol, del mal de un día,
murió: que aun la hermosura en flores miente

¡Oh flor!, el primer paso de tu vida
fue el último también que pudo darte,
antes escarmentada que nacida

¡Oh documento de la humana suerte!
¡Oh verdad de los campos escondida!
¿Quién no se desengaña con tu muerte?

"
Soneto,Luis Martín de la Plaza,15-17,"¿Qué fiera Alejo de cruel veneno
entró en mi pecho y me privó el sentido?
¿Qué frenesí de cólera encendido
quitó a mi lengua temeraria el freno?

¿Cómo turbé, Señora, tu sereno
cielo, sin ser de rayos oprimido,
pues soy gigante bárbaro atrevido,
y no escarmiento en el ejemplo ajeno?

Rayos, Señora, de tu cielo bajen;
pagaré con mi muerte el mal que debo,
y moriré contento en noche oscura;

porque a mirar la luz aun no me atrevo
del sol; que desprecié su hermosura
en ti, Señora, como en propia imagen

"
Soneto,Luis Martín de la Plaza,15-17,"Tiñe tus aguas en señal de luto,
Guadalhorce, y aumenta tu creciente;
llora, pues no verás eternamente
flor en tu margen ni en tus plantas fruto,

que el dios del mar robó, ladrón astuto,
al que honró sol hermoso tu corriente,
como si de oro y de cristal luciente
rebelde le negaras el tributo

Venganza espera tu afrentosa injuria;
combate al mar con tus arenas hondas,
pide tu sol con guerra, no con ruego,

corre, no temas su arrogante furia,
pues que te dan para vencer sus ondas
agua mis ojos y mi boca fuego

"
