title,author,century,text,etiqueta
Soneto,Luis Martín de la Plaza,15-17,nereidasmanosesmeraldassangrarleocultasvenasperlasnacarcoralesllenasazotaisneptunoespaldascenidasfrentesguirnaldasazulesdelfinesballenasoropurocerneisarenasguardaismojadasfaldasdecidmeasivuestroalegrecoronoosaparteaqueldioseoliamoranivalientesoplooshagaagravioshallaiscoralesperlasnacarorotalcomoyohallomisenoracabellosfrentebocalabios,Religioso Mistico
Soneto,Luis Martín de la Plaza,15-17,veosenorasonmiinstrumentocuandoentonamivoztunombresantopararriosescucharmicantocorrermontescallarvientoluegosipublicomitormentohuirricostemorespantosermontessordosmillantovientomurmurartristeacentoporquehacesarenasorotraesmontesveranoeternodasolorvientotetocayodeshagollorandotesorotraigomontesheladoinviernodoyvientofuegomiboca,Religioso Mistico
"No pises, no; detén el pie de nieve...",Pedro Castro y Anaya,15-17,nopisesnodetenpienievenopisesestadesmayadarosaclavelestubocahermosayamarchitapurpuralesdebeestaposeyocetrotanbrevepradorepublicaolorosahalleteohnisealgunavezpiadosasituretratolastimatemuevesiacasoenternecidallorasmuerteflorohduenoingratosercopiagentiltusaurorasnisetemedtanbreveratoprolijaguerrahorasfalteoriginalcomoretrato,Melancolico
"Al retrato de Pedro de Valencia, ceramista de Su M",Anastasio Pantaleón de Ribera,15-17,estelienzovozperegrinoporfidocallabiennovidahoyprimerpincelrestituidarobadaayerultimodestinoadmirassilencioyaladinohabladoctaimagenmentidaprimeraformarepetidafingehumanidadviviendolinoverdadestacopiamudayaceaunpinceleternizabreveespaciosepulcrobrevenosepulcropedroembaracecielosituinmortalcenizagraveporfidonoleve,Melancolico
A fama póstuma del doctor Juan Pérez de Montalbán,Juan López Román,15-17,veneraaquestapiracaminanteyaceellaaqueldoctorfamosomontanotiempodiogloriosoalmamusasseratlanteaqueldiscretoeleganteviotaneminenteforzosopresumirmodomilagrosonoquedamundosemejanteparcafieramanoalevevidalequitastefenixsoloarteprimorpoesiaaquelhermanastodasnueveledieronlaurelsacroapolocelebrandoversosporfia,Religioso Mistico
Al lector,Juan de Castellanos,15-17,lectoramigoclaramenteveosalirluzaquestemonumentoaquellosmaticesornamentoventuratienesdeseosoloverdadhermoseoporquenopidetantocrecimientovariedadesdetenimientosuelellevarvelozcorreoperegrinacioninexhaustavidabrevevenamalpropiciamedetenerjornadasansivamospasoporquebastaaquestecompendiodarnoticiacosasestabanolvidadas,Amoroso
A la muerte de don Rodrigo Calderón,Anastasio Pantaleón de Ribera,15-17,copiaamargafunestollantodesatacaminantesentimientoinformamiedoshoytantoescarmientolagrimasdisculpaejemplotantograveteaviseteprevengatantodesenganovidaestesangrientoesteheladocastigoinstrumentopiedadostentaespantononaturalviolentosidestinoleyimpuestaderribohomicidausoindignoaltivasuertemuriendohumanoviviradivinopuesmorirleocasionovidapuesvivirleaseguromuerte,Melancolico
Al estrago de la predicación evangélica,Anastasio Pantaleón de Ribera,15-17,preguntasmeporquetantoahincorepugnepredicarpuesbienpodriapococriticaosadiasubirmemayorpulpitobrincoconfiesoaniantalentoscincosonyasolovanaparleriaellaganaalmamiapuessiflechaajenashincosioidoestragadomeacomodoestragodoctrinasitemplosencillezparedeshablosacrooficioyaprofanotodocomediasermonteatrotemplofarsantepredicaautordiablo,Religioso Mistico
Sobre el mismo tema,Pedro de la Escalera Guevara,15-17,duermemarmolestalosafriaaquelsolilustrotantoartesdoctosorbevariaspartesllorantantosuenotristediapatriadulcelagrimasenviaquejadolorlereparteshuerfanalopetusaltaspartesplectotugrantaliadoctovarondoctofinmoristeensenaresemonumentoparcaatroztudivinaplumapuesdoctovaronnovencisteignorantevivavivaatentofinultimosuyonopresuma,Melancolico
Soneto amoroso,Juan de Jauregui,15-17,burlablasonacorcillagamabienguarecidaentrebosqueespesogranlebrelacosadorsabuesocuyoladridoamenazallamasienganadahierbagramarasocampoestiendepietraviesomuriendopagaligeroeccesovanogremioselvasamaasimientrascerradomiasperezaviviburlabaamortusrigoresenganomerostrolisonjerosalimisiguiendobellezaparaisoperpetuasfloresdondetusmanosrigurosasmuero,Satira
A San Ignacio de Loyola,Juan de Jauregui,15-17,vedcolumnadescubresendapielagorubropuebloamadofuegogranizovedmezcladoporqueegipcioamenazaentiendavedmarporquegolfoenciendaangelfuertepurezaarmadoprocelosasondasarrojadojonasvedninivitaenmiendadiosvedespirituinfluyendoaguasvedarcaufanavidaofreceborrascatantosasiignaciolagunaardiendovereiscaridadejemplossantospudierondescribirnovozhumana,Religioso Mistico
A las cenizas del doctor don Juan Pérez de Montalbán,Ángela de Mendoza,15-17,cultapavesayasiantesaladaenvidiafloresmayoanhelandolucirardienterayoepitomereducesestenadacaucasofuisteyaadondeatadaideapadeciomortaldesmayohoycenizaspalidasmoncayournatecenirasbienfabricadaquietareposapuesmientrasunidaasciendeslograraltoempenodesatolazostuvidadescansaentresombrasestecenodespuesquietudinterrumpidaverasvirtudmuertesueno,Melancolico
A San Isidro,Felipe Bernardo del Castillo,15-17,camposmadridisidrosantoangelesarancuandotuarrobadoestasdiosdiostanendiosadoheroelabradordacieloespantoangelicascohortesentretantoibantiministrantucuidadocandidosbueyescelestialaradocampofructificansacrosantoaquestelabradororandoalcanzalagrimasgozoenternecidolabrarsediosdarsetributoangelesestanlabranzacosechacielolehancogidosembrandoaquilagrimasfruto,Religioso Mistico
A la muerte del doctor Juan Pérez de Montalbán,Pablo de Sotomayor,15-17,pindaroespanolcisnerarotandulcecantodoctaplumaformareducidabrevefumacenizasellaaquiestemarmolparopesarenvidiaingenioclaronuevovirgilioprudentenumaporqueolvidonombrenoconsumadescansabroncecontratiempoavaroaquidivinomontalbanreposatuafectomuevallantoperegrinoperdidatempranalastimosapuesviveinmortalcontradestinotangrandevarontanbrevelosavenerapazsiguetucamino,Religioso Mistico
Soneto,Andrés Rey de Artieda,15-17,quienviveaquicpobreperegrinopuesperegrinohogarcasacnoveistodayadesiertarasasoloestesobradoquedopinoquienostrajotallugarcmisinoquiensoiscsoyvientonovuelvepasatuvefavormundotuveasapasobuentiempoadversovinohaceisaquiccestocanastatalvezmimbretalsecoespartoganosustentomebastanomeviosprometojamashartopretensionesmilitareshastadesenganomealquiloestecuarto,Amoroso
Soneto,Benito Arias Montano,15-17,quiengravescongojashuirdeseaestavuestravidasiemprellenaamesoledadquietaamenadondeocasionesnuncaveaellapacienciaproveacontrapensamientosdanpenamemoriamorirbuenadefensacualquierpeleaestaamorapasionadonopienseestandosoloremediarsenipaciencianiacordarmuerteporquecausatraecuidadodentrosimientrasquierealejarsefuerzaamorsientefuerte,Religioso Mistico
Soneto a San Vicente Ferrer,Gaspar de Aguilar,15-17,juanofreciojazmindechadovirginidadmaravillosadiegomenortrascendenterosabernardoamantealhelimoradodomingonoblelirioaventajadoantoniofuerteazucenahermosatomassutilneptaprovechosalorenzomartirclavelleonadojacintoarrayanesperanzapablomaravillacelofranciscotrebolhumildadprometeestasfloresdignasalabanzahizograndevicentecielocomoeravalencianoramillete,Religioso Mistico
Soneto de penitencia,Diego Ramírez Pagan,15-17,cuerpoestaviciosabrevadoprofundopasodetenidoaguasmisculpashancrecidohastaalmamiahanentradosipiepruebosalirnohallovadosivuelohanalasderretidoquedamideshonramiapellidocomoicarogolfosenaladosiquierobracearsoyignorantenadarpuestodofaltobonanzatristesnavegantumanopoderosaaltoenvialasenorinstantemelibraestasaguasmeanegan,Amoroso
Soneto,Diego Vélez de Guevara,15-17,orafielcosechalisisgratatierracorrespondaaldeanolabradororalechepierdagranopiedramiesesdesbaratamartranquiloyaindicaplatasalvamentolleguepuertohispanoyapartetragueoceanoparterobaalbionpiratanosientonianhelofatalesdestinosestorbardarvientodiosvotosvocesdesigualesnoporqueyomaltengacontentoporquecursoseguirtusmalesnomedejalugarsentimiento,Religioso Mistico
Soneto,Francisco de Olaegui,15-17,llegajaviercieloyagigantelamacuerpoaugustafrentequiencuantaesferaardelucienteestrellacenirabellodiamantemedioorbemacedonbastoarrogantetodomundojaviernosuficientepuessillamarsegrandeaquelnomienterenombrejavierserabastantesiempreaspiroseralientonohallandoseryahaexcedidosimismojaviersiempreportentocuantootrosheroesfueronnohapodidoeternizarlostuardimientolesobramitadhasido,Religioso Mistico
Soneto,Francisco de Figueroa,15-17,gastomispasosmistristesdiastrasdeseolocoenganososostienevivirdificultosovanasesperanzasalegriasencontradomidanomilviasserabiertasendamireposodoquiervuelvorostrolastimosohaycampollenomiseriasmiasmiseriaseratododesventurahastaejecutepostreracansadosanosmividapagarapensamientolocuramoriradeseocuandomueraalmaviviendaaborrecida,Amoroso
Soneto,Gregorio Silvestre,15-17,estodiosamoryanovalesdamasdicenobrassonamoresyanoquierengracianiprimoressinobuenaspreseasprimoresrindieronseamortresmetalesoroplatatiranmayorestirancobremenorestodasellassoninteresalesbienpuedeacometerserecelohermosotiromonedapuramujersuelocuandoalgunresabioellasquedaarponrasoterciopelotornaamorblandaseda,Religioso Mistico
Soneto,Gregorio Silvestre,15-17,orofinosonvuestroscabellossenoracristalblancafrenteojossondossolesorientemismoamoramormataisellosquiereamorhagapausaellosnohaypasaralliniconsientecadapartevoztanexcelentesondignosserquiensonelloscuantobuenocieloacarepartetendraquienversupierevuestrogestomilanosalabarcadacosacienmilgraciasteneiscadapartehacentodasellascompuestonohermosuratanhermosa,Amoroso
¿De qué sirve querer un imposible?,Leonor de la Cueva y Silva,15-17,bastaamorrigormehasmuertocesepocorapaztuardientefuegopuesyaalmasenorioentregoojosnoduenociertobienanorotaninciertonopasavistasentirllegotufuerzamanerameanegomilmaresamarhallarpuertorinovecesmislibresojosrespetohanmiradodetengocastigarlosposibleviendopadezcoestosenojosdigoentremimipechoenamoradosirvequererimposible,Amoroso
Soneto,Miguel Beneyto,15-17,yamecansosenoracansarteasiprocurareseguirtugustopuesrequiererazonjustonadiepersevereenfadartenoquieroalgunascosasacordartesonmiprovechotudisgustoporquedirascasoinjustoquerertalcaminogranjeartefinsenoraporquenoteasombremivistanitecausealgundespechotejurodejarpatrianombrepuesbanandolagrimaspechoborraresertuyoaquelrenombrequedandotugustosatisfecho,Religioso Mistico
Soneto,Francisco de Figueroa,15-17,hierbasfloridasverdesdeleitosasblancopiesoisoprimidasaquellabultorecogidastienetodasgraciaspreciosasdichosassombrassuavesamorosastangratasrobamilvidasairefinoorodesparcidashebrastraesrevueltasrosasclarasfrescasfuentescristalinasbanarvosblancasmanososquisohacermifilistantodignascuandosintaispasossoberanosdireislesimisojossonbenignasnomeseansuyostantiranos,Amoroso
De Los hermanos amantes y piedad por fuerza – Jornada primera - Margarita,Fernando de Zarate,15-17,vosmeapartohonortalmudanzaalegremimalmiinfamiasientomeserviratenercontentosihaperderquienalcanzaquitemeamorbienesperanzasivanmisdesdichasaumentofuerzahadejarlemitormentomemoriasercansaviviendomemoriahamatarmequitarmeesperanzadarmemuertelenomarprocelosovoyvengoquieromismalesconsolarmetengoesperanzanopuessuertemehaquitaramornotengo,Melancolico
Soneto a Nuestra Señora de Alva,Diego Ramírez Pagan,15-17,sosegadoestamarselvaspradoshojaflorpompamuestracielonochevirompiendoaprisavelocaballosherirnegrosaladosscintiadejacamposplateadostransparentecristalinohieloresplandeciansenordeloorientalesrayoscoloradoscuandootrosolpurooccidenteveisdondeasomaserenandodiaimagenorientaldescolorandodijoeternaluzsolaardientesufridpazhermosuramiaclaravosvamostrando,Religioso Mistico
A la vida y costumbre de Nuestra Señora conforme San Epifanio,Andrés Rey de Artieda,15-17,vistiohumildevirgenlinolanahonroestadograndepequenoiracolerarisanisuenomostrotenerniturbacionhumanaestaturacuerpomedianarubiocabellocolortriguenoafiladanarizrostroaguilenocifradoalmahumildellanaojosverdescolorolivacejanegraarqueadahermosavistasantapenetrantevivalabiosbocapurpurearosagraciapalabrasexcesivarepresentandodioscualquiercosa,Religioso Mistico
A Lope de Vega,Diego Ximénez de Cabredo,15-17,hoyquedasiempredeclaradovagaespaciosafertilagradablefrutodasinestimablepuropreciosoricoregaladopuesleofrecestodossazonadoutilalmavistaamableerudicionincomparableestilojamasimaginadonosolodignoganesnombreleganemadridcualmadretuyahonradatenertehijotajonuevaenvidiaasombrebetisgloriaatribuyahallarmecenasdonjuanarguijo,Amoroso
Soneto,Benito Arias Montano,15-17,estoentendimientorevueltatehacedisparartucarreraaquellodomenorrazonesperatevasdesatinandoriendasueltasoliastucorrerparardarvueltamovidomanocerterarazonllevandobanderavelasentidovientosueltadesesperadomiluzavaracuandopensabairatinandotinociegomellevabasentisentircomootratanclaraaquellaprimeromeguiabamevatinieblaoscuraremedando,Amoroso
Soneto,Matías Juan Beana,15-17,globoazuleuronoviolentatranquilidadessenoundosonohallandoamargurasreposopasajerosedcorretormentajaviersagradodesmayoalientaclamoresmiserospiadososolicitalicorvengapreciososocorrapenaatormentacristoinvocacruzpendientecuyocostadofuentemortalesbotelanchaabriobriobendijomarcruzsacrotridentecomosintiopontocristalesaquelladulcefuentehizorio,Religioso Mistico
A un reloj que juntamente era candil,Anastasio Pantaleón de Ribera,15-17,nuevoyaesplendorrestituidahermosisimaluztusermejoraspuesnochetinieblasdorassenosombradesmentidasiedadvivesrepetidaauncaducosterminosignorasindicevuelvehorassegundavezregulartuvidatufelizquienfinviolentotantosavisanmudosdesenganosmomentotedaotromomentoyosiejemplotusdanoscomollegueobservarescarmientollegotambiencastigarmisanos,Religioso Mistico
Soneto,Lorenzo Ortiz de Bujedo,15-17,sioscurecemundoausenciapadreluzsolhermosoyoluegosemblanteluminososustituyobenignapresenciacuandomelancolicainfluenciatiendenochemantopavorosomihermosisimaluztenebrosohorrorinfundeburlainclemenciaalzacieloojosmirarmetellenarasgozoalegriadejarmomentoadmirarmeohlunadimequientantahidalguiapudoticoncedertetidarmesersimboloexpresomaria,Satira
En el túmulo que fabricó Sevilla a la reina Doña Margarita,Juan de Jauregui,15-17,hoyvandaliainsignecabezamagnificosepulcrocuerposantomargaritadedicatantoalmagozamayoraltezanoricoadornoimperialgrandezamuevacuriosaadmiracionespantoojosmismosdolorllantodebemoverfuneraltristezayacuantoespaciouniversoestiendegravefaztodoplacerdestierramuerteufanatannoblepalmaellaalegrealegresetierracenizasenvolverpretendecielopuroatesoraalma,Religioso Mistico
Al entierro que se hizo en San Esteban de Salamanc,Anastasio Pantaleón de Ribera,15-17,niegatehuespedhoypartidallantolografatalteadvierteestefunestotriunfomuerteestefunestoasombrovidacultaurnaalbadormidasuenoyaceinexorablefuerteeternasiemprenochedurasuertecualcerviznotemblograveheridafueroparcalucesbellasalbafeudaaquiaquelfernandohoygloriatriunfosenriquecemuchopuesilustraestrellasaunmismoscielosilustrandohorizonteseternosamanece,Religioso Mistico
A Lope de Vega y Carpio,Isabel de Ribadeneira,15-17,siespanolflorentinfamosovierantusescritosexcelenciavagaquienparnasoreverenciaquedaracadacualtienvidiosoporquetudulceestilocaudalosoasidemasdiferenciacomoentreestrellaspresenciasolmediocursoluminosopuesriosfaltarningunocortandomontesvallesfriosmarvanpagardebidocensonohascrecerlooralgunovayamiarroyoentrefamososriosoceanotuingenioinmenso,Religioso Mistico
"A don Diego de Lucena, pintor famoso, grande ingen",Anastasio Pantaleón de Ribera,15-17,esadiegolaminaexcedidanigriegopintornitoscanoesfuerzosdebetumanosegundoalientomisegundavidamudaimagenviveconsentidanobultopersuadirhumanonadapincelocultasoberanosolovozleniegacoloridanoteadquiereestacopiaalabanzaimitadabienprimoressiempresontuobrarmenorpartemayoradmiraciondiegotealcanzaanimetudiestracolorespuedadarespiritusarte,Amoroso
Soneto,Francisco de Segura,15-17,soispecadooriginalcriadaabeternoguardadaescogidaquienoshizovirgenparidaoshizoculpapreservadavuestrasangredivinainmaculadadioshechohombrenosdiovidagraciatanaltorecibidacomopudoculpasermanchadanuestrosalvadorverbohumanadovirgenmadresoissumagrandezaserafinesoslevantadichodionisioseaalabadonosaberdiosgrandealtezaostuvieradiosohreinasanta,Religioso Mistico
La rosa en los cristales de una fuente...,Pedro Castro y Anaya,15-17,rosacristalesfuenteflorflortodopradodesafiahermosaplumascarminabriasernarcisocristallucientecuandopurpureaflorecientecopasrubiperlasbebiaachaquesolmaldiamurioaunhermosurafloresmienteohflorprimerpasotuvidaultimotambienpudodarteantesescarmentadanacidaohdocumentohumanasuerteohverdadcamposescondidaquiennodesenganatumuerte,Melancolico
Soneto,Luis Martín de la Plaza,15-17,fieraalejocruelvenenoentromipechomeprivosentidofrenesicoleraencendidoquitomilenguatemerariafrenocomoturbesenoratuserenocieloserrayosoprimidopuessoygigantebarbaroatrevidonoescarmientoejemploajenorayossenoratucielobajenpagaremimuertemaldebomorirecontentonocheoscuraporquemirarluzaunnomeatrevosoldespreciehermosuratisenoracomopropiaimagen,Melancolico
Soneto,Luis Martín de la Plaza,15-17,tinetusaguassenallutoguadalhorceaumentatucrecientellorapuesnoveraseternamenteflortumargennitusplantasfrutodiosmarroboladronastutohonrosolhermosotucorrientecomosiorocristallucienterebeldelenegarastributovenganzaesperatuafrentosainjuriacombatemartusarenashondaspidetusolguerranoruegocorrenotemasarrogantefuriapuestedanvencerondasaguamisojosmibocafuego,Religioso Mistico
Eróticas – - VI -,Esteban Manuel de Villegas,15-17,flotetuyacontrariaarmadaacometerferozrendirviolentosaladomarteayudovientomartetierraocasiontuespadaoivilpasiondesenfrenadaingratotuvalorledasalientopuesfuertecapitanmudaintentoquieresyamujergozadatrompasuenapartoavecinapicarosutilcielollegatunombreaclamatupersonaesparceneciomeexcusasmuchoignorascinaamortambienguerracampomarcesiciegoamorguerraciega,Religioso Mistico
A Santa Rosa de Lima,Luis Tejada y Guzmán,15-17,naceprovinciaverdeespinosatiernocogolloapenasengendradoentrerosassolyapradocrepusculoolorrayorosallanosalbaapenasgozacuandoduenosingularcuidadotemiendotroncherudoaradoajemanoartificiosayacaireldesaprisionavirgenninapreviniendoenganoscortaponeguirnaldazonaasiestavirgentiernaverdesanoscortoautorpusocoronaohbienanticipadosdesenganos,Amoroso
Soneto,Juan B. Camacho,15-17,virgenpuraempireocieloauroraquienmuestrasoldivinoesplendorclaroperegrinodemasvistenmortalveloniangellevantavuelopudovoscorrerigualcaminolimpiacualquierinstanteasiconvinooshizodiosamorosoceloestaverdadvotoalegrecantasacerdociosantoescogidoilustreacendradodevotoestacausafiestatantasolosueneentrecelebreruidovirgenlimpiezasacerdociovoto,Religioso Mistico
Soneto,Juana de Arteaga,15-17,alegreshorasmemoriastristesbrevepuntodurasteiseternasoledadmecondenasteispagocontentomedisteisdecidmimiospartisteissabiendovosvoscualmedejastessidovinisteisostornastesnomismopuntovinisteiscuantoestavenidadeseadacuanarrebatadaestavenidafinmejorhoramenguadanomecostasteisvidamediadesearvuestrallegadamediallorarvuestrapartida,Amoroso
- XXXIV -,Juan de Arguijo,15-17,tialegresvidescoronadobacogranpadredomadororientehecantartiblandamentetemplasfuerzamayorcuidadooracastigueslicurgoairadopenteotusarasinsolenteoratemirefestivagenteconvitesdulceregaladoyatuariadnaaltoasientosubasufanoinmortalcoronavenfacilvenhumanocantomiosinodesmerecesacroalientomivozpenetraraopuestazonatibreenvidiarahispaliorio,Religioso Mistico
Soneto,Gonzalo de Ayala,15-17,impetusuperioramorardienteignaciosolicitandeseopendientejesusdichosoempleounidobienadmirayapresentedivinosrayosorientehumildevuelatrofeototalsuspensiondulcerecreoluzsobrenaturalalmasientesietediasignaciocuerpocalmaalmaheroicamenteentretenidaamoresmuereamoresvivedespiertajesuscuerpoalmaporquecuerpoalmanuevavidaignaciotiempojesusrecibe,Religioso Mistico
A Narciso,Juan de Arguijo,15-17,creceinsanoardorcreceenganoaguasvioimagenbellasolacausamortalquerellabuscaremedioacrecientadanovuelveversefuentecasoextranoaguasalefuegoellatemplarlopiensaenemigaestrellaojoscierrafacildesenganofallecieronfuerzassentidociegoamanteamadosuertecostosabeldadcayorendidaahoraflorpurpureaconvertidoaguaprincipiomuertehacecrezcapruebadarlevida,Melancolico
A Dido,Juan de Arguijo,15-17,tiranacodiciahermanoimpiaocasionfintusiqueohuistefielairadoegeoelisahastaterminoafricanodondereliquiasardortroyanoencendierontinuevodeseoentregasteinfaustohimeneoteucroenganadorfemanodespreciastetudanopresurosamerecidafamadestruyesenganoobstinadaquieresohambasbodaspocoventurosamuriendounoperseguidahuyeshuyendootrodesdenadamueres,Religioso Mistico
A don Agustín de Salazar y Torres,Pedro de Arce,15-17,unootrogriegovalerosoheroicashazanasdescribeinmortalidadapercibesabiohomeroplectoarmoniosoheroicasobrasheroesgloriosoeternoaplausosiemprevivehoylogratiempoestehonorrecibedoctoveracelogenerosodulcesreliquiasamistadtrasladainadvertenciasolvidoveneracionmemoriahoyresuenaliracelebradacastellanoapoloesclarecidoestafamahallogloria,Heroico
A la muerte de Lope de Vega,Luis Ramírez de Arellano,15-17,viveinmortalmilagroperegrinoacontecisteraronuestraespanacuantomundotidesenganaabristemusascaminoyacallaraenvidiadestinoobedientebarbaraguadanaviveviveinmortalpuesteacompanatodaeternidaddivinotugranmonumentovotoseacuantapindodevocionardienteotrotiempoarasaltaresporqueenvidiadespechoveaasistelopecultoreverentetresorbesfecuatromares,Religioso Mistico
A Raimundo de Peñafort,Juan Francisco Andrés,15-17,penafuerteraimundoapellidoreymundonombrelepublicaaquelfortalezasantaexplicaestecuantohaymortalmuestrarendidoelementoembravecidocuadomatoondasfeaplicavientomansamenteimplicahastahaberleplayaconducidotriunfomarairadovientoscuandopreceptosobedecenmuestramundomenormovimientosotrosprodigioscrecenpuespendenvozdoselementoshombresescuchanensordecen,Religioso Mistico
Soneto,Álvaro Cubillo de Aragón,15-17,llegosumaelevacionmarianapisoultimalineagrandezaadoleciograndefinezapeligroviviosoberanapurpuraclavelnievegranaesmeraldarompiobellezaocasionandoriesgotantaaltezaflordesabrochoabriltempranadioespanasucesorhizoinmortalesvictoriassustostemoreslaureldebidotantahazanavivasolrubioscendalesazafatesencarnadasfloresgloriafelipeprincipesespana,Religioso Mistico
A la muerte de Raquel,Miguel de Barrios,15-17,llorajacobraquelqueridahermosuramarchitafintempranocortopoderosafuertemanoarbolenganosovidavepurpurearosaconvertidacardenocolorpolvovanogalacuerpolozanopostradatierratierrareducidaaydicegozoinciertogloriavanamentidogustoestadonuncafijoquienfiatuverdorvidainconstantepuescuandorobustalozanabienmecostotiempoprolijomequitomuerteinstante,Melancolico
- XLVI -,Juan de Arguijo,15-17,nomarmolesrotoscontemploreliquiasnoblesgrancartagoninumanciamiserableestragonidespojosefesiotemplonosaguntofinunicoejemplolealtadinjustopagodecrecenmidolornisatisfagomemoriamalnuncatemplobienpruebatalvezfantasiavanoaliviardesventuradesastresucesostalesrazonadvierteconfiaremedioenganososiprocuraajenosconsolarmales,Religioso Mistico
- LII -,Juan de Arguijo,15-17,jabaliarcadialeonnemeotorocienpueblospavorosocayeronmispiesvictoriosohidrameviolagolerneocantresgargantastifeofierasguardasclaustrotenebrosonoburlaronmiintentogenerosonilevaliocaerfuerteanteoejemplosmiilustrevencimientosonaceloobusirisdiodemesreyquienhuirhesperiamiraufanomishistoriascuentocautivotuprisioncuantopuedessimerendisteohbelladeyamira,Religioso Mistico
